Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Edwardsiella piscicida,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,,,,,,,,,,
Edwardsiella sp. EA181011,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,unclassified Edwardsiella (in: enterobacteria),,,,,,,,,,,,,,,,
Edwardsiella sp. LADL05-105,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,unclassified Edwardsiella (in: enterobacteria),,,,,,,,,,,,,,,,
Edwardsiella tarda,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,,,,,,,,,,,,,,,,,
Eggerthella lenta,cellular organisms,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,,,,,,,,,,,,,,,,,
Eggerthella sp. YY7918,cellular organisms,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,unclassified Eggerthella,,,,,,,,,,,,,,,,
Eikenella corrodens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,,,,,,,,,,,,,,,,,
Elizabethkingia anophelis,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,,,,,,,,,,,,,,
Elizabethkingia genomosp. 3,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,,,,,,,,,,,,,,
Elizabethkingia genomosp. 4,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,,,,,,,,,,,,,,
Elizabethkingia meningoseptica,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,,,,,,,,,,,,,,
Elizabethkingia miricola,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,,,,,,,,,,,,,,
Ensifer adhaerens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium/Ensifer group,Ensifer,,,,,,,,,,,,,,,,
Ensifer sojae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium/Ensifer group,Sinorhizobium,,,,,,,,,,,,,,,,
Enterobacter asburiae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter cancerogenus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter cloacae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter cloacae complex 'Hoffmann cluster III',cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,Enterobacter hormaechei,,,,,,,,,,,,,,,
Enterobacter cloacae complex 'Hoffmann cluster IV',cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter cloacae complex sp. 35734,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter cloacae complex sp. ECNIH7,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,unclassified Enterobacter cloacae complex,,,,,,,,,,,,,,,
Enterobacter hormaechei,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter kobei,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter ludwigii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,,,,,,,,,,,,,,,,
Enterobacter phage Arya,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Iiscvirinae,Jilinvirus,unclassified Jilinvirus,,,,,,,,,,,,,,,,,
Enterobacter phage E-2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Teetrevirus,Teetrevirus E2,,,,,,,,,,,,,,,,
Enterobacter phage E-3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Teetrevirus,Teetrevirus E3,,,,,,,,,,,,,,,,
Enterobacter phage Tyrion,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Uetakevirus,unclassified Uetakevirus,,,,,,,,,,,,,,,,,,
Enterobacter phage phiEap-2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Guernseyvirinae,unclassified Guernseyvirinae,,,,,,,,,,,,,,,,,,
Enterobacter sp. 638,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. CRENT-193,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. Crenshaw,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. E20,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. FY-07,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. HK169,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. ODB01,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter sp. R4-368,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,unclassified Enterobacter,,,,,,,,,,,,,,,,
Enterobacter virus PG7,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tevenvirinae,Karamvirus,,,,,,,,,,,,,,,,,
Enterobacter xiangfangensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,Enterobacter hormaechei,,,,,,,,,,,,,,,
Enterobacteria phage 285P,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Berlinvirus,Berlinvirus 285P,,,,,,,,,,,,,,,,
Enterobacteria phage EcoDS1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Kayfunavirus,Kayfunavirus EcoDS1,,,,,,,,,,,,,,,,
Enterobacteria phage HK225,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterobacteria phage HK542,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Hendrixvirinae,Wongtaivirus,Wongtaivirus HK542,,,,,,,,,,,,,,,,,
Enterobacteria phage J8-65,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Bonnellvirus,Bonnellvirus J865,,,,,,,,,,,,,,,,,
Enterobacteria phage K1F,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Kayfunavirus,Kayfunavirus K1F,,,,,,,,,,,,,,,,
Enterobacteria phage T3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Teetrevirus,Teetrevirus T3,,,,,,,,,,,,,,,,
Enterobacteria phage mEp235,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Hendrixvirinae,Nochtlivirus,Nochtlivirus mEp235,,,,,,,,,,,,,,,,,
Enterobacteria phage mEp237,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterobacteria phage phi80,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterobacteria phage phi92,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Stephanstirmvirinae,Justusliebigvirus,Justusliebigvirus phi92,,,,,,,,,,,,,,,,,
Enterobacteria phage phiEcoM-GJ1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Chaseviridae,Cleopatravirinae,Carltongylesvirus,Carltongylesvirus GJ1,,,,,,,,,,,,,,,,
Enterobacteria phage phiP27,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterobacteria phage phiX174 sensu lato,Viruses,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Sinsheimervirus,Sinsheimervirus phiX174,,,,,,,,,,,,,,,
Enterobacteria phage vB_KleM-RaK2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Alcyoneusvirus,Alcyoneusvirus RaK2,,,,,,,,,,,,,,,,,,
Enterobacteriaceae bacterium ENNIH1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unclassified Enterobacteriaceae,,,,,,,,,,,,,,,,,
Enterobacteriaceae bacterium ENNIH2,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unclassified Enterobacteriaceae,,,,,,,,,,,,,,,,,
Enterobacteriaceae bacterium ENNIH3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unclassified Enterobacteriaceae,,,,,,,,,,,,,,,,,
Enterobacteriaceae bacterium strain FGI 57,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unclassified Enterobacteriaceae,,,,,,,,,,,,,,,,,
Enterobacterial phage mEp390,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Hendrixvirinae,unclassified Hendrixvirinae,,,,,,,,,,,,,,,,,,
Enterococcus casseliflavus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus durans,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus faecalis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus faecium,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus hirae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus mundtii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus phage ECP3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Herelleviridae,Brockvirinae,Kochikohdavirus,Kochikohdavirus ECP3,,,,,,,,,,,,,,,,
Enterococcus phage EF62phi,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage EFAP-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage EFC-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage EFDG1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Herelleviridae,Brockvirinae,Schiekvirus,Schiekvirus EFDG1,,,,,,,,,,,,,,,,
Enterococcus phage EfaCPT1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Efquatrovirus,Efquatrovirus EfaCPT1,,,,,,,,,,,,,,,,,,
Enterococcus phage IME-EFm1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage IME-EFm5,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage IME_EF3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Efquatrovirus,Efquatrovirus EF3,,,,,,,,,,,,,,,,,,
Enterococcus phage SANTOR1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Efquatrovirus,Efquatrovirus SANTOR1,,,,,,,,,,,,,,,,,,
Enterococcus phage phiFL4A,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus phage vB_EfaS_IME196,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Efquatrovirus,Efquatrovirus IME196,,,,,,,,,,,,,,,,,,
Enterococcus phage vB_EfaS_IME197,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Enterococcus sp. CR-Ec1,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified Enterococcus,,,,,,,,,,,,,,,,
Enterococcus sp. FDAARGOS_163,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified Enterococcus,,,,,,,,,,,,,,,,
Enterococcus sp. FDAARGOS_375,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified Enterococcus,,,,,,,,,,,,,,,,
Enterococcus thailandicus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Enterococcus virus FL1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Phifelvirus,,,,,,,,,,,,,,,,,,,
Enterococcus virus FL3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Phifelvirus,,,,,,,,,,,,,,,,,,,
Enterococcus wangshanyuanii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,,,,,,,,,,,,,,,,
Entomoplasma somnilux,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Entomoplasmatales,Williamsoniiplasma,,,,,,,,,,,,,,,,,,
Enzootic nasal tumour virus of goats,Viruses,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Orthoretrovirinae,Betaretrovirus,unclassified Betaretrovirus,,,,,,,,,,,,,,,
Equid gammaherpesvirus 5,Viruses,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Gammaherpesvirinae,Percavirus,Percavirus equidgamma5,,,,,,,,,,,,,,,
Eremothecium gossypii,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,,,,,,,,,,,,,
Erwinia amylovora,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,,,,,,,,,,,,,,,
Erwinia billingiae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,,,,,,,,,,,,,,,
Erwinia gerundensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Duffyella,,,,,,,,,,,,,,,,,
Erwinia phage ENT90,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Peduoviridae,Entnonagintavirus,Entnonagintavirus ENT90,,,,,,,,,,,,,,,,,
Erwinia phage PhiEaH1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Iapetusvirus,Iapetusvirus EaH1,,,,,,,,,,,,,,,,,,
Erwinia phage phiEa2809,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ackermannviridae,Nezavisimistyvirus,Nezavisimistyvirus Ea2809,,,,,,,,,,,,,,,,,
Erwinia phage phiEaH2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Erskinevirus,Erskinevirus EaH2,,,,,,,,,,,,,,,,,,
Erwinia phage phiEt88,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM-Y2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Chaseviridae,Cleopatravirinae,Loessnervirus,Loessnervirus Y2,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_Caitlin,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Machinavirus,unclassified Machinavirus,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_ChrisDB,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Machinavirus,unclassified Machinavirus,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_EarlPhillipIV,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Derbicusvirus,Derbicusvirus derbicus,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_Huxley,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Machinavirus,Machinavirus machina,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_Kwan,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Wellingtonvirus,Wellingtonvirus wellington,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamM_Phobos,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Derbicusvirus,unclassified Derbicusvirus,,,,,,,,,,,,,,,,,,
Erwinia phage vB_EamP-L1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Elunavirus,Elunavirus L1,,,,,,,,,,,,,,,,
Erwinia phage vB_EamP-S6,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Waedenswilvirus,Waedenswilvirus S6,,,,,,,,,,,,,,,,,
Erwinia pyrifoliae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,,,,,,,,,,,,,,,
Erwinia sp. Ejp617,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,unclassified Erwinia,,,,,,,,,,,,,,,,
Erwinia tasmaniensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,,,,,,,,,,,,,,,
Erwinia virus Ea214,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ounavirinae,Kolesnikvirus,,,,,,,,,,,,,,,,,,
Erwinia virus Ea35-70,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Agricanvirus,,,,,,,,,,,,,,,,,,,
Erwinia virus Ea9-2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Erskinevirinae,Johnsonvirus,,,,,,,,,,,,,,,,,
Erwinia virus Frozen,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Erskinevirinae,Johnsonvirus,,,,,,,,,,,,,,,,,
Erysipelothrix larvae,cellular organisms,Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,,,,,,,,,,,,,,,,
Erysipelothrix rhusiopathiae,cellular organisms,Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,,,,,,,,,,,,,,,,
Erysipelotrichaceae bacterium I46,cellular organisms,Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,,,,,,,,,,,,,,,,,
Erythrobacter atlanticus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Aurantiacibacter,,,,,,,,,,,,,,,,,
Erythrobacter flavus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,,,,,,,,,,,,,,,,,
Erythrobacter gangjinensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Aurantiacibacter,,,,,,,,,,,,,,,,,
Erythrobacter litoralis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter/Porphyrobacter group,Erythrobacter,,,,,,,,,,,,,,,,
Erythrobacter seohaensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,,,,,,,,,,,,,,,,,
Escherichia albertii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,,,,,,,,,,,,,,,
Escherichia coli,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,,,,,,,,,,,,,,,
Escherichia fergusonii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,,,,,,,,,,,,,,,
Escherichia marmotae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,,,,,,,,,,,,,,,,
Escherichia phage Av-05,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Vequintavirinae,Avunavirus,Avunavirus Av05,,,,,,,,,,,,,,,,,
Escherichia phage D108,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Muvirus,Muvirus mu,,,,,,,,,,,,,,,,,,
Escherichia phage ECBP5,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Gajwadongvirus,Gajwadongvirus ECBP5,,,,,,,,,,,,,,,,,
Escherichia phage ECML-117,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Wifcevirus,Wifcevirus ECML117,,,,,,,,,,,,,,,,,,
Escherichia phage Envy,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Dhillonvirus,unclassified Dhillonvirus,,,,,,,,,,,,,,,,,,
Escherichia phage HK639,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Escherichia phage HK75,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Hendrixvirinae,Saikungvirus,Saikungvirus HK75,,,,,,,,,,,,,,,,,
Escherichia phage LM33_P1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Kayfunavirus,Kayfunavirus LM33P1,,,,,,,,,,,,,,,,
Escherichia phage Lw1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Pseudotevenvirus,Pseudotevenvirus lw1,,,,,,,,,,,,,,,,,
Escherichia phage PBECO 4,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Asteriusvirus,Asteriusvirus PBECO4,,,,,,,,,,,,,,,,,,
Escherichia phage PE3-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Studiervirinae,Kayfunavirus,Kayfunavirus PE31,,,,,,,,,,,,,,,,
Escherichia phage Pollock,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Humphriesvirinae,Pollockvirus,Pollockvirus pollock,,,,,,,,,,,,,,,,
Escherichia phage phAPEC8,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Stephanstirmvirinae,Phapecoctavirus,Escherichia virus phAPEC8,,,,,,,,,,,,,,,,,
